neighbor_moveinitial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,1000.000,0.100,0.900,250,62288.535,59185.483,108404.742,1475,22000,6.705,54679.000,1.082417,8.242,3
two_opt,1000.000,0.100,0.900,500,62288.535,59602.643,117265.566,2805,44000,6.375,54679.000,1.090046,9.005,6
two_opt,1000.000,0.100,0.900,750,62288.535,57843.427,116610.347,4325,66000,6.553,54679.000,1.057873,5.787,10
two_opt,1000.000,0.100,0.900,1000,62288.535,57490.699,117014.504,5776,88000,6.564,54679.000,1.051422,5.142,14
two_opt,1000.000,0.100,0.900,1250,62288.535,57180.715,118156.265,7151,110000,6.501,54679.000,1.045753,4.575,16
two_opt,1000.000,0.100,0.900,1500,62288.535,56594.885,119573.557,8538,132000,6.468,54679.000,1.035039,3.504,18
two_opt,1000.000,0.100,0.925,250,62288.535,59532.420,114361.611,2108,29750,7.086,54679.000,1.088762,8.876,4
two_opt,1000.000,0.100,0.925,500,62288.535,57088.708,116383.929,3779,59500,6.351,54679.000,1.044070,4.407,8
two_opt,1000.000,0.100,0.925,750,62288.535,57397.270,117594.722,5703,89250,6.390,54679.000,1.049713,4.971,12
two_opt,1000.000,0.100,0.925,1000,62288.535,57845.469,116959.718,7386,119000,6.207,54679.000,1.057910,5.791,16
two_opt,1000.000,0.100,0.925,1250,62288.535,57061.708,118058.791,9267,148750,6.230,54679.000,1.043576,4.358,20
two_opt,1000.000,0.100,0.925,1500,62288.535,57429.619,118319.759,11081,178500,6.208,54679.000,1.050305,5.030,24
two_opt,1000.000,0.100,0.950,250,62288.535,57328.018,115388.097,3023,45000,6.718,54679.000,1.048447,4.845,6
two_opt,1000.000,0.100,0.950,500,62288.535,57648.725,117148.275,5494,90000,6.104,54679.000,1.054312,5.431,12
two_opt,1000.000,0.100,0.950,750,62288.535,56372.343,116863.564,8200,135000,6.074,54679.000,1.030969,3.097,18
two_opt,1000.000,0.100,0.950,1000,62288.535,57385.004,117579.970,11243,180000,6.246,54679.000,1.049489,4.949,24
two_opt,1000.000,0.100,0.950,1250,62288.535,56850.660,117981.093,13722,225000,6.099,54679.000,1.039717,3.972,31
two_opt,1000.000,0.100,0.950,1500,62288.535,56541.755,117662.326,16506,270000,6.113,54679.000,1.034067,3.407,37
two_opt,1000.000,0.100,0.975,250,62288.535,56859.762,116651.912,5668,91000,6.229,54679.000,1.039883,3.988,12
two_opt,1000.000,0.100,0.975,500,62288.535,57060.743,116805.089,11179,182000,6.142,54679.000,1.043559,4.356,24
two_opt,1000.000,0.100,0.975,750,62288.535,55340.425,117802.944,16715,273000,6.123,54679.000,1.012097,1.210,37
two_opt,1000.000,0.100,0.975,1000,62288.535,55029.092,117363.465,21346,364000,5.864,54679.000,1.006403,0.640,49
two_opt,1000.000,0.100,0.975,1250,62288.535,56914.310,117840.238,27409,455000,6.024,54679.000,1.040881,4.088,62
two_opt,1000.000,0.100,0.975,1500,62288.535,57244.073,117648.840,32549,546000,5.961,54679.000,1.046911,4.691,74
two_opt,1000.000,0.100,0.990,250,62288.535,56925.400,117413.107,13657,229250,5.957,54679.000,1.041083,4.108,31
two_opt,1000.000,0.100,0.990,500,62288.535,56518.836,117672.077,27409,458500,5.978,54679.000,1.033648,3.365,62
two_opt,1000.000,0.100,0.990,750,62288.535,56210.805,118568.004,40173,687750,5.841,54679.000,1.028014,2.801,94
two_opt,1000.000,0.100,0.990,1000,62288.535,54717.796,118263.991,53847,917000,5.872,54679.000,1.000710,0.071,125
two_opt,1000.000,0.100,0.990,1250,62288.535,55102.492,117996.358,66762,1146250,5.824,54679.000,1.007745,0.775,156
two_opt,1000.000,0.100,0.990,1500,62288.535,54883.571,117965.245,79996,1375500,5.816,54679.000,1.003741,0.374,186
two_opt,1000.000,0.100,0.995,250,62288.535,55615.635,117493.949,26865,459500,5.847,54679.000,1.017130,1.713,62
two_opt,1000.000,0.100,0.995,500,62288.535,56721.474,118060.554,54241,919000,5.902,54679.000,1.037354,3.735,124
two_opt,1000.000,0.100,0.995,750,62288.535,55375.392,118175.855,81204,1378500,5.891,54679.000,1.012736,1.274,186
two_opt,1000.000,0.100,0.995,1000,62288.535,55131.337,117907.290,106964,1838000,5.820,54679.000,1.008273,0.827,250
two_opt,1000.000,0.100,0.995,1250,62288.535,54968.624,117927.975,133759,2297500,5.822,54679.000,1.005297,0.530,311
two_opt,1000.000,0.100,0.995,1500,62288.535,55633.211,118101.873,160396,2757000,5.818,54679.000,1.017451,1.745,372
two_opt,1000.000,0.010,0.900,250,62288.535,59575.622,110280.222,1501,27500,5.458,54679.000,1.089552,8.955,4
two_opt,1000.000,0.010,0.900,500,62288.535,59974.658,117240.845,3076,55000,5.593,54679.000,1.096850,9.685,8
two_opt,1000.000,0.010,0.900,750,62288.535,58368.472,114160.309,4144,82500,5.023,54679.000,1.067475,6.748,11
two_opt,1000.000,0.010,0.900,1000,62288.535,57626.313,116104.830,5540,110000,5.036,54679.000,1.053902,5.390,14
two_opt,1000.000,0.010,0.900,1250,62288.535,57543.216,119524.148,7127,137500,5.183,54679.000,1.052382,5.238,19
two_opt,1000.000,0.010,0.900,1500,62288.535,56890.867,118514.320,8512,165000,5.159,54679.000,1.040452,4.045,22
two_opt,1000.000,0.010,0.925,250,62288.535,57538.303,114291.411,2050,37000,5.541,54679.000,1.052293,5.229,5
two_opt,1000.000,0.010,0.925,500,62288.535,57399.048,115214.655,3841,74000,5.191,54679.000,1.049746,4.975,10
two_opt,1000.000,0.010,0.925,750,62288.535,58469.480,115529.467,5621,111000,5.064,54679.000,1.069322,6.932,15
two_opt,1000.000,0.010,0.925,1000,62288.535,57225.190,116773.019,7456,148000,5.038,54679.000,1.046566,4.657,20
two_opt,1000.000,0.010,0.925,1250,62288.535,57230.085,117936.203,9109,185000,4.924,54679.000,1.046656,4.666,25
two_opt,1000.000,0.010,0.925,1500,62288.535,55856.611,118249.858,10792,222000,4.861,54679.000,1.021537,2.154,30
two_opt,1000.000,0.010,0.950,250,62288.535,58379.595,115969.460,2927,56250,5.204,54679.000,1.067679,6.768,7
two_opt,1000.000,0.010,0.950,500,62288.535,57369.537,117354.472,5757,112500,5.117,54679.000,1.049206,4.921,15
two_opt,1000.000,0.010,0.950,750,62288.535,57816.625,117145.667,8479,168750,5.025,54679.000,1.057383,5.738,22
two_opt,1000.000,0.010,0.950,1000,62288.535,56610.432,117873.265,11131,225000,4.947,54679.000,1.035323,3.532,30
two_opt,1000.000,0.010,0.950,1250,62288.535,56940.216,118636.135,13962,281250,4.964,54679.000,1.041354,4.135,38
two_opt,1000.000,0.010,0.950,1500,62288.535,58664.197,117545.756,16236,337500,4.811,54679.000,1.072883,7.288,46
two_opt,1000.000,0.010,0.975,250,62288.535,56772.416,118054.442,5791,113750,5.091,54679.000,1.038286,3.829,15
two_opt,1000.000,0.010,0.975,500,62288.535,56819.575,117090.247,10925,227500,4.802,54679.000,1.039148,3.915,31
two_opt,1000.000,0.010,0.975,750,62288.535,56211.160,116562.662,16265,341250,4.766,54679.000,1.028021,2.802,46
two_opt,1000.000,0.010,0.975,1000,62288.535,57067.475,117585.179,21657,455000,4.760,54679.000,1.043682,4.368,61
two_opt,1000.000,0.010,0.975,1250,62288.535,56561.790,117046.417,27300,568750,4.800,54679.000,1.034434,3.443,77
two_opt,1000.000,0.010,0.975,1500,62288.535,56113.288,118049.986,32143,682500,4.710,54679.000,1.026231,2.623,93
two_opt,1000.000,0.010,0.990,250,62288.535,56290.718,117634.656,13774,286500,4.808,54679.000,1.029476,2.948,39
two_opt,1000.000,0.010,0.990,500,62288.535,56963.142,117513.680,27197,573000,4.746,54679.000,1.041774,4.177,77
two_opt,1000.000,0.010,0.990,750,62288.535,57336.793,117992.063,39986,859500,4.652,54679.000,1.048607,4.861,118
two_opt,1000.000,0.010,0.990,1000,62288.535,55627.626,118403.317,54015,1146000,4.713,54679.000,1.017349,1.735,156
two_opt,1000.000,0.010,0.990,1250,62288.535,55672.944,118309.397,67576,1432500,4.717,54679.000,1.018178,1.818,194
two_opt,1000.000,0.010,0.990,1500,62288.535,56271.426,117986.063,81215,1719000,4.725,54679.000,1.029123,2.912,233
two_opt,1000.000,0.010,0.995,250,62288.535,56066.908,117963.281,27787,574250,4.839,54679.000,1.025383,2.538,79
two_opt,1000.000,0.010,0.995,500,62288.535,55307.544,117498.786,53585,1148500,4.666,54679.000,1.011495,1.150,155
two_opt,1000.000,0.010,0.995,750,62288.535,55598.931,118431.416,81052,1722750,4.705,54679.000,1.016824,1.682,234
two_opt,1000.000,0.010,0.995,1000,62288.535,55389.227,118541.426,106882,2297000,4.653,54679.000,1.012989,1.299,314
two_opt,1000.000,0.010,0.995,1250,62288.535,55575.596,118145.978,134820,2871250,4.696,54679.000,1.016397,1.640,390
two_opt,1000.000,0.010,0.995,1500,62288.535,55125.361,118101.918,161012,3445500,4.673,54679.000,1.008163,0.816,469
two_opt,1000.000,0.001,0.900,250,62288.535,57959.108,109346.674,1581,33000,4.791,54679.000,1.059988,5.999,4
two_opt,1000.000,0.001,0.900,500,62288.535,58193.604,115039.259,2845,66000,4.311,54679.000,1.064277,6.428,8
two_opt,1000.000,0.001,0.900,750,62288.535,57767.783,118201.420,4399,99000,4.443,54679.000,1.056489,5.649,13
two_opt,1000.000,0.001,0.900,1000,62288.535,58469.895,117977.734,5641,132000,4.273,54679.000,1.069330,6.933,18
two_opt,1000.000,0.001,0.900,1250,62288.535,57183.121,116753.262,6820,165000,4.133,54679.000,1.045797,4.580,22
two_opt,1000.000,0.001,0.900,1500,62288.535,56572.965,119165.429,8385,198000,4.235,54679.000,1.034638,3.464,27
two_opt,1000.000,0.001,0.925,250,62288.535,58401.748,113983.942,2108,44500,4.737,54679.000,1.068084,6.808,6
two_opt,1000.000,0.001,0.925,500,62288.535,58160.553,116851.183,3761,89000,4.226,54679.000,1.063673,6.367,12
two_opt,1000.000,0.001,0.925,750,62288.535,56469.433,116573.686,5807,133500,4.350,54679.000,1.032744,3.274,18
two_opt,1000.000,0.001,0.925,1000,62288.535,57124.336,118249.500,7494,178000,4.210,54679.000,1.044722,4.472,25
two_opt,1000.000,0.001,0.925,1250,62288.535,57473.661,117499.315,9161,222500,4.117,54679.000,1.051110,5.111,30
two_opt,1000.000,0.001,0.925,1500,62288.535,56130.339,116993.839,10904,267000,4.084,54679.000,1.026543,2.654,36
two_opt,1000.000,0.001,0.950,250,62288.535,58548.395,115272.159,3037,67500,4.499,54679.000,1.070766,7.077,9
two_opt,1000.000,0.001,0.950,500,62288.535,58468.999,115791.526,5647,135000,4.183,54679.000,1.069314,6.931,18
two_opt,1000.000,0.001,0.950,750,62288.535,57386.890,116515.906,8225,202500,4.062,54679.000,1.049523,4.952,27
two_opt,1000.000,0.001,0.950,1000,62288.535,58210.034,117900.216,11010,270000,4.078,54679.000,1.064578,6.458,36
two_opt,1000.000,0.001,0.950,1250,62288.535,56008.276,117502.911,13769,337500,4.080,54679.000,1.024311,2.431,47
two_opt,1000.000,0.001,0.950,1500,62288.535,55925.077,117802.187,16376,405000,4.043,54679.000,1.022789,2.279,55
two_opt,1000.000,0.001,0.975,250,62288.535,57848.896,116995.405,5636,136500,4.129,54679.000,1.057973,5.797,18
two_opt,1000.000,0.001,0.975,500,62288.535,56473.105,115929.014,10763,273000,3.942,54679.000,1.032812,3.281,37
two_opt,1000.000,0.001,0.975,750,62288.535,56219.537,117579.679,16213,409500,3.959,54679.000,1.028174,2.817,55
two_opt,1000.000,0.001,0.975,1000,62288.535,57752.400,118028.796,22034,546000,4.036,54679.000,1.056208,5.621,74
two_opt,1000.000,0.001,0.975,1250,62288.535,57034.389,116879.280,27149,682500,3.978,54679.000,1.043077,4.308,93
two_opt,1000.000,0.001,0.975,1500,62288.535,56139.553,116972.142,32249,819000,3.938,54679.000,1.026711,2.671,112
two_opt,1000.000,0.001,0.990,250,62288.535,57384.835,117524.852,13590,343750,3.953,54679.000,1.049486,4.949,46
two_opt,1000.000,0.001,0.990,500,62288.535,56587.340,117830.928,27086,687500,3.940,54679.000,1.034901,3.490,94
two_opt,1000.000,0.001,0.990,750,62288.535,55370.223,118195.079,40411,1031250,3.919,54679.000,1.012641,1.264,140
two_opt,1000.000,0.001,0.990,1000,62288.535,56882.960,117711.033,53904,1375000,3.920,54679.000,1.040307,4.031,187
two_opt,1000.000,0.001,0.990,1250,62288.535,56747.888,118059.885,66637,1718750,3.877,54679.000,1.037837,3.784,234
two_opt,1000.000,0.001,0.990,1500,62288.535,55692.760,117722.979,80299,2062500,3.893,54679.000,1.018540,1.854,280
two_opt,1000.000,0.001,0.995,250,62288.535,56630.262,117031.362,27040,689250,3.923,54679.000,1.035686,3.569,94
two_opt,1000.000,0.001,0.995,500,62288.535,56150.124,118243.614,54722,1378500,3.970,54679.000,1.026905,2.690,188
two_opt,1000.000,0.001,0.995,750,62288.535,55602.902,118204.163,80693,2067750,3.902,54679.000,1.016897,1.690,283
two_opt,1000.000,0.001,0.995,1000,62288.535,56155.410,117173.723,107444,2757000,3.897,54679.000,1.027001,2.700,377
two_opt,1000.000,0.001,0.995,1250,62288.535,55005.091,117754.667,133952,3446250,3.887,54679.000,1.005964,0.596,468
two_opt,1000.000,0.001,0.995,1500,62288.535,55626.297,117964.562,161940,4135500,3.916,54679.000,1.017325,1.732,565
two_opt,1000.000,0.000,0.900,250,62288.535,57301.392,110742.923,1553,38250,4.060,54679.000,1.047960,4.796,5
two_opt,1000.000,0.000,0.900,500,62288.535,58306.498,114004.223,2823,76500,3.690,54679.000,1.066342,6.634,10
two_opt,1000.000,0.000,0.900,750,62288.535,57794.595,119133.037,4286,114750,3.735,54679.000,1.056980,5.698,15
two_opt,1000.000,0.000,0.900,1000,62288.535,56670.146,115611.997,5555,153000,3.631,54679.000,1.036415,3.642,20
two_opt,1000.000,0.000,0.900,1250,62288.535,57448.117,117790.747,7046,191250,3.684,54679.000,1.050643,5.064,26
