neighbor_move,initial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,1000.000,0.100,0.900,250,62288.535,59853.707,111583.399,1565,22000,7.114,54679.000,1.094638,9.464,3
two_opt,1000.000,0.100,0.900,500,62288.535,58162.435,112866.130,2913,44000,6.620,54679.000,1.063707,6.371,5
two_opt,1000.000,0.100,0.900,750,62288.535,57103.177,115966.249,4189,66000,6.347,54679.000,1.044335,4.433,9
two_opt,1000.000,0.100,0.900,1000,62288.535,56605.393,117476.172,5625,88000,6.392,54679.000,1.035231,3.523,12
two_opt,1000.000,0.100,0.900,1250,62288.535,57471.727,118416.395,7207,110000,6.552,54679.000,1.051075,5.107,15
two_opt,1000.000,0.100,0.900,1500,62288.535,57430.304,118210.425,8620,132000,6.530,54679.000,1.050317,5.032,17
two_opt,1000.000,0.100,0.925,250,62288.535,57961.713,113327.062,1958,29750,6.582,54679.000,1.060036,6.004,4
two_opt,1000.000,0.100,0.925,500,62288.535,57627.395,115744.410,3891,59500,6.539,54679.000,1.053922,5.392,8
two_opt,1000.000,0.100,0.925,750,62288.535,58969.124,118075.873,5698,89250,6.384,54679.000,1.078460,7.846,12
two_opt,1000.000,0.100,0.925,1000,62288.535,56559.948,117338.430,7490,119000,6.294,54679.000,1.034400,3.440,16
two_opt,1000.000,0.100,0.925,1250,62288.535,57327.520,117627.638,9217,148750,6.196,54679.000,1.048438,4.844,20
two_opt,1000.000,0.100,0.925,1500,62288.535,56038.476,119089.788,11129,178500,6.235,54679.000,1.024863,2.486,24
two_opt,1000.000,0.100,0.950,250,62288.535,58075.187,114964.933,2915,45000,6.478,54679.000,1.062111,6.211,6
two_opt,1000.000,0.100,0.950,500,62288.535,58168.342,117135.286,5760,90000,6.400,54679.000,1.063815,6.382,13
two_opt,1000.000,0.100,0.950,750,62288.535,57512.808,116968.045,8146,135000,6.034,54679.000,1.051826,5.183,18
two_opt,1000.000,0.100,0.950,1000,62288.535,57894.885,117637.881,10813,180000,6.007,54679.000,1.058814,5.881,25
two_opt,1000.000,0.100,0.950,1250,62288.535,56308.773,117607.673,13719,225000,6.097,54679.000,1.029806,2.981,32
two_opt,1000.000,0.100,0.950,1500,62288.535,56562.140,117683.326,16467,270000,6.099,54679.000,1.034440,3.444,40
two_opt,1000.000,0.100,0.975,250,62288.535,57626.433,117033.392,5811,91000,6.386,54679.000,1.053904,5.390,12
two_opt,1000.000,0.100,0.975,500,62288.535,57093.443,116888.779,10800,182000,5.934,54679.000,1.044157,4.416,24
two_opt,1000.000,0.100,0.975,750,62288.535,56598.870,117106.500,16420,273000,6.015,54679.000,1.035112,3.511,38
two_opt,1000.000,0.100,0.975,1000,62288.535,56239.744,118178.446,21803,364000,5.990,54679.000,1.028544,2.854,49
two_opt,1000.000,0.100,0.975,1250,62288.535,55728.850,117301.766,27208,455000,5.980,54679.000,1.019200,1.920,62
two_opt,1000.000,0.100,0.975,1500,62288.535,55816.027,117991.698,32770,546000,6.002,54679.000,1.020795,2.079,74
two_opt,1000.000,0.100,0.990,250,62288.535,56273.713,116493.787,13467,229250,5.874,54679.000,1.029165,2.917,31
two_opt,1000.000,0.100,0.990,500,62288.535,56181.700,117815.673,27380,458500,5.972,54679.000,1.027482,2.748,62
two_opt,1000.000,0.100,0.990,750,62288.535,55328.762,118197.895,40327,687750,5.864,54679.000,1.011883,1.188,93
two_opt,1000.000,0.100,0.990,1000,62288.535,55657.706,117714.513,54191,917000,5.910,54679.000,1.017899,1.790,125
two_opt,1000.000,0.100,0.990,1250,62288.535,55541.852,118520.763,67247,1146250,5.867,54679.000,1.015780,1.578,155
two_opt,1000.000,0.100,0.990,1500,62288.535,55917.793,118234.072,80484,1375500,5.851,54679.000,1.022656,2.266,193
two_opt,1000.000,0.100,0.995,250,62288.535,56028.055,117524.416,26969,459500,5.869,54679.000,1.024672,2.467,62
two_opt,1000.000,0.100,0.995,500,62288.535,56318.655,118918.349,55310,919000,6.018,54679.000,1.029987,2.999,123
two_opt,1000.000,0.100,0.995,750,62288.535,55972.236,118233.118,80444,1378500,5.836,54679.000,1.023651,2.365,187
two_opt,1000.000,0.100,0.995,1000,62288.535,55514.056,118202.553,107328,1838000,5.839,54679.000,1.015272,1.527,258
two_opt,1000.000,0.100,0.995,1250,62288.535,55497.385,118387.304,134333,2297500,5.847,54679.000,1.014967,1.497,311
two_opt,1000.000,0.100,0.995,1500,62288.535,55667.641,118501.849,161825,2757000,5.870,54679.000,1.018081,1.808,371
two_opt,1000.000,0.010,0.900,250,62288.535,58592.669,111020.008,1575,27500,5.727,54679.000,1.071575,7.158,3
two_opt,1000.000,0.010,0.900,500,62288.535,58943.418,115359.247,2946,55000,5.356,54679.000,1.077990,7.799,8
two_opt,1000.000,0.010,0.900,750,62288.535,57458.387,118709.084,4334,82500,5.253,54679.000,1.050831,5.083,11
two_opt,1000.000,0.010,0.900,1000,62288.535,57122.545,120092.991,5733,110000,5.212,54679.000,1.044689,4.469,14
two_opt,1000.000,0.010,0.900,1250,62288.535,57578.753,116407.388,6923,137500,5.035,54679.000,1.053032,5.303,18
two_opt,1000.000,0.010,0.900,1500,62288.535,56974.180,117919.197,8327,165000,5.047,54679.000,1.041976,4.198,22
two_opt,1000.000,0.010,0.925,250,62288.535,58095.552,113154.740,2011,37000,5.435,54679.000,1.062484,6.248,5
two_opt,1000.000,0.010,0.925,500,62288.535,58435.329,116160.423,3948,74000,5.335,54679.000,1.068698,6.870,10
two_opt,1000.000,0.010,0.925,750,62288.535,58642.634,117864.833,5861,111000,5.280,54679.000,1.072489,7.249,15
two_opt,1000.000,0.010,0.925,1000,62288.535,56630.104,117192.419,7432,148000,5.022,54679.000,1.035683,3.568,26
two_opt,1000.000,0.010,0.925,1250,62288.535,57349.004,116429.538,8972,185000,4.850,54679.000,1.048831,4.883,25
two_opt,1000.000,0.010,0.925,1500,62288.535,56001.138,116907.840,10938,222000,4.927,54679.000,1.024180,2.418,30
two_opt,1000.000,0.010,0.950,250,62288.535,58734.981,114510.598,2835,56250,5.040,54679.000,1.074178,7.418,7
two_opt,1000.000,0.010,0.950,500,62288.535,57893.912,117741.194,5637,112500,5.011,54679.000,1.058796,5.880,15
two_opt,1000.000,0.010,0.950,750,62288.535,56947.217,117567.923,8297,168750,4.917,54679.000,1.041482,4.148,23
two_opt,1000.000,0.010,0.950,1000,62288.535,57117.825,117963.187,10964,225000,4.873,54679.000,1.044603,4.460,33
two_opt,1000.000,0.010,0.950,1250,62288.535,55767.475,117189.295,13606,281250,4.838,54679.000,1.019907,1.991,40
two_opt,1000.000,0.010,0.950,1500,62288.535,56262.164,117360.187,16416,337500,4.864,54679.000,1.028954,2.895,47
two_opt,1000.000,0.010,0.975,250,62288.535,58001.886,116334.517,5600,113750,4.923,54679.000,1.060771,6.077,15
two_opt,1000.000,0.010,0.975,500,62288.535,56351.671,116927.010,10936,227500,4.807,54679.000,1.030591,3.059,32
two_opt,1000.000,0.010,0.975,750,62288.535,57360.644,117184.399,16335,341250,4.787,54679.000,1.049043,4.904,54
two_opt,1000.000,0.010,0.975,1000,62288.535,56192.788,117589.234,21760,455000,4.782,54679.000,1.027685,2.769,78
two_opt,1000.000,0.010,0.975,1250,62288.535,56259.191,118026.739,27062,568750,4.758,54679.000,1.028899,2.890,92
two_opt,1000.000,0.010,0.975,1500,62288.535,55952.842,117931.826,32386,682500,4.745,54679.000,1.023297,2.330,122
two_opt,1000.000,0.010,0.990,250,62288.535,56522.480,116887.708,13664,286500,4.769,54679.000,1.033715,3.371,47
two_opt,1000.000,0.010,0.990,500,62288.535,56458.620,118416.005,27381,573000,4.779,54679.000,1.032547,3.255,93
two_opt,1000.000,0.010,0.990,750,62288.535,55577.544,117514.718,40328,859500,4.692,54679.000,1.016433,1.643,149
two_opt,1000.000,0.010,0.990,1000,62288.535,56393.745,118136.323,54075,1146000,4.719,54679.000,1.031360,3.136,204
two_opt,1000.000,0.010,0.990,1250,62288.535,55742.360,118236.655,66904,1432500,4.670,54679.000,1.019447,1.945,235
two_opt,1000.000,0.010,0.990,1500,62288.535,55568.031,118252.501,80882,1719000,4.705,54679.000,1.016259,1.626,270
two_opt,1000.000,0.010,0.995,250,62288.535,55636.859,116749.586,26615,574250,4.635,54679.000,1.017518,1.752,94
two_opt,1000.000,0.010,0.995,500,62288.535,55075.485,118080.439,54478,1148500,4.743,54679.000,1.007251,0.725,193
two_opt,1000.000,0.010,0.995,750,62288.535,55540.597,118073.745,81011,1722750,4.702,54679.000,1.015757,1.576,288
two_opt,1000.000,0.010,0.995,1000,62288.535,56030.641,118073.591,106928,2297000,4.655,54679.000,1.024720,2.472,380
two_opt,1000.000,0.010,0.995,1250,62288.535,55562.045,118112.895,134370,2871250,4.680,54679.000,1.016150,1.615,456
two_opt,1000.000,0.010,0.995,1500,62288.535,54885.003,118520.852,160980,3445500,4.672,54679.000,1.003768,0.377,564
two_opt,1000.000,0.001,0.900,250,62288.535,57960.543,111009.280,1465,33000,4.439,54679.000,1.060015,6.001,4
two_opt,1000.000,0.001,0.900,500,62288.535,57726.449,117088.885,3016,66000,4.570,54679.000,1.055733,5.573,11
two_opt,1000.000,0.001,0.900,750,62288.535,58230.793,117218.620,4374,99000,4.418,54679.000,1.064957,6.496,16
two_opt,1000.000,0.001,0.900,1000,62288.535,56758.394,119120.353,5757,132000,4.361,54679.000,1.038029,3.803,19
two_opt,1000.000,0.001,0.900,1250,62288.535,56345.083,118403.507,7281,165000,4.413,54679.000,1.030470,3.047,28
two_opt,1000.000,0.001,0.900,1500,62288.535,58130.642,118276.329,8479,198000,4.282,54679.000,1.063126,6.313,29
two_opt,1000.000,0.001,0.925,250,62288.535,57717.283,113512.174,1990,44500,4.472,54679.000,1.055566,5.557,9
two_opt,1000.000,0.001,0.925,500,62288.535,57065.532,114677.450,3731,89000,4.192,54679.000,1.043646,4.365,13
two_opt,1000.000,0.001,0.925,750,62288.535,56868.225,117291.401,5526,133500,4.139,54679.000,1.040038,4.004,21
two_opt,1000.000,0.001,0.925,1000,62288.535,58830.566,116731.668,7198,178000,4.044,54679.000,1.075926,7.593,27
two_opt,1000.000,0.001,0.925,1250,62288.535,57505.551,117613.238,9420,222500,4.234,54679.000,1.051694,5.169,33
two_opt,1000.000,0.001,0.925,1500,62288.535,57602.830,118568.476,10951,267000,4.101,54679.000,1.053473,5.347,41
two_opt,1000.000,0.001,0.950,250,62288.535,59409.064,116833.844,2990,67500,4.430,54679.000,1.086506,8.651,11
two_opt,1000.000,0.001,0.950,500,62288.535,57661.528,117701.320,5469,135000,4.051,54679.000,1.054546,5.455,21
two_opt,1000.000,0.001,0.950,750,62288.535,57428.511,117791.069,8324,202500,4.111,54679.000,1.050285,5.028,30
two_opt,1000.000,0.001,0.950,1000,62288.535,56363.381,117666.459,11122,270000,4.119,54679.000,1.030805,3.080,43
two_opt,1000.000,0.001,0.950,1250,62288.535,56811.322,117750.467,13766,337500,4.079,54679.000,1.038997,3.900,59
two_opt,1000.000,0.001,0.950,1500,62288.535,57618.143,118187.581,16214,405000,4.003,54679.000,1.053753,5.375,61
two_opt,1000.000,0.001,0.975,250,62288.535,58153.657,116174.269,5553,136500,4.068,54679.000,1.063546,6.355,21
