neighbor_move,initial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,1000.000,0.100,0.900,250,133347.820,133347.820,259226.650,1453,22000,6.605,119364.000,1.117153,11.715,9
two_opt,1000.000,0.100,0.900,500,133347.820,133347.820,304550.750,3087,44000,7.016,119364.000,1.117153,11.715,17
two_opt,1000.000,0.100,0.900,750,133347.820,133347.820,316482.634,4549,66000,6.892,119364.000,1.117153,11.715,26
two_opt,1000.000,0.100,0.900,1000,133347.820,133347.820,323028.404,5954,88000,6.766,119364.000,1.117153,11.715,34
two_opt,1000.000,0.100,0.900,1250,133347.820,133347.820,332182.386,7401,110000,6.728,119364.000,1.117153,11.715,39
two_opt,1000.000,0.100,0.900,1500,133347.820,133274.615,326070.709,8641,132000,6.546,119364.000,1.116539,11.654,47
two_opt,1000.000,0.100,0.925,250,133347.820,133347.820,281634.536,2108,29750,7.086,119364.000,1.117153,11.715,11
two_opt,1000.000,0.100,0.925,500,133347.820,133347.820,310990.569,4033,59500,6.778,119364.000,1.117153,11.715,21
two_opt,1000.000,0.100,0.925,750,133347.820,133347.820,321911.035,5780,89250,6.476,119364.000,1.117153,11.715,31
two_opt,1000.000,0.100,0.925,1000,133347.820,133347.820,333636.118,7985,119000,6.710,119364.000,1.117153,11.715,43
two_opt,1000.000,0.100,0.925,1250,133347.820,133347.820,336509.063,9794,148750,6.584,119364.000,1.117153,11.715,53
two_opt,1000.000,0.100,0.925,1500,133347.820,130478.177,331733.343,11135,178500,6.238,119364.000,1.093112,9.311,64
two_opt,1000.000,0.100,0.950,250,133347.820,133347.820,291468.748,3026,45000,6.724,119364.000,1.117153,11.715,17
two_opt,1000.000,0.100,0.950,500,133347.820,133347.820,323091.665,5922,90000,6.580,119364.000,1.117153,11.715,33
two_opt,1000.000,0.100,0.950,750,133347.820,133347.820,332398.544,8712,135000,6.453,119364.000,1.117153,11.715,48
two_opt,1000.000,0.100,0.950,1000,133347.820,131024.903,336458.362,11306,180000,6.281,119364.000,1.097692,9.769,64
two_opt,1000.000,0.100,0.950,1250,133347.820,130521.478,334562.523,14321,225000,6.365,119364.000,1.093474,9.347,80
two_opt,1000.000,0.100,0.950,1500,133347.820,128235.201,337384.450,16567,270000,6.136,119364.000,1.074321,7.432,97
two_opt,1000.000,0.100,0.975,250,133347.820,133347.820,321966.658,5830,91000,6.407,119364.000,1.117153,11.715,32
two_opt,1000.000,0.100,0.975,500,133347.820,130380.898,329442.517,11254,182000,6.184,119364.000,1.092297,9.230,65
two_opt,1000.000,0.100,0.975,750,133347.820,128186.817,341013.498,16888,273000,6.186,119364.000,1.073915,7.392,98
two_opt,1000.000,0.100,0.975,1000,133347.820,126666.381,335310.895,22020,364000,6.049,119364.000,1.061177,6.118,131
two_opt,1000.000,0.100,0.975,1250,133347.820,128267.145,341847.369,27647,455000,6.076,119364.000,1.074588,7.459,165
two_opt,1000.000,0.100,0.975,1500,133347.820,126282.358,345552.385,33043,546000,6.052,119364.000,1.057960,5.796,196
two_opt,1000.000,0.100,0.990,250,133347.820,129550.603,334279.739,13915,229250,6.070,119364.000,1.085341,8.534,85
two_opt,1000.000,0.100,0.990,500,133347.820,128779.911,344145.033,27830,458500,6.070,119364.000,1.078884,7.888,168
two_opt,1000.000,0.100,0.990,750,133347.820,126188.346,341572.600,40255,687750,5.853,119364.000,1.057173,5.717,252
two_opt,1000.000,0.100,0.990,1000,133347.820,125412.979,344867.319,54033,917000,5.892,119364.000,1.050677,5.068,327
two_opt,1000.000,0.100,0.990,1250,133347.820,124808.766,345537.861,67872,1146250,5.921,119364.000,1.045615,4.561,407
two_opt,1000.000,0.100,0.990,1500,133347.820,124719.816,347600.141,81692,1375500,5.939,119364.000,1.044870,4.487,491
two_opt,1000.000,0.100,0.995,250,133347.820,127345.924,342212.353,27875,459500,6.066,119364.000,1.066870,6.687,166
two_opt,1000.000,0.100,0.995,500,133347.820,126100.608,345859.358,54593,919000,5.940,119364.000,1.056438,5.644,331
two_opt,1000.000,0.100,0.995,750,133347.820,123809.880,346430.134,80858,1378500,5.866,119364.000,1.037246,3.725,494
two_opt,1000.000,0.100,0.995,1000,133347.820,123929.012,347637.695,107717,1838000,5.861,119364.000,1.038244,3.824,663
two_opt,1000.000,0.100,0.995,1250,133347.820,123302.141,346529.039,133677,2297500,5.818,119364.000,1.032993,3.299,838
two_opt,1000.000,0.100,0.995,1500,133347.820,123796.669,346515.977,160205,2757000,5.811,119364.000,1.037136,3.714,1016
two_opt,1000.000,0.010,0.900,250,133347.820,133347.820,264461.497,1537,27500,5.589,119364.000,1.117153,11.715,10
two_opt,1000.000,0.010,0.900,500,133347.820,133347.820,298876.836,3095,55000,5.627,119364.000,1.117153,11.715,23
two_opt,1000.000,0.010,0.900,750,133347.820,133347.820,314208.949,4732,82500,5.736,119364.000,1.117153,11.715,31
two_opt,1000.000,0.010,0.900,1000,133347.820,133347.820,324206.231,5870,110000,5.336,119364.000,1.117153,11.715,41
two_opt,1000.000,0.010,0.900,1250,133347.820,133347.820,332534.593,7336,137500,5.335,119364.000,1.117153,11.715,50
two_opt,1000.000,0.010,0.900,1500,133347.820,130868.941,328417.915,8578,165000,5.199,119364.000,1.096385,9.639,61
two_opt,1000.000,0.010,0.925,250,133347.820,133347.820,276804.391,1967,37000,5.316,119364.000,1.117153,11.715,13
two_opt,1000.000,0.010,0.925,500,133347.820,133347.820,309648.387,4171,74000,5.636,119364.000,1.117153,11.715,29
two_opt,1000.000,0.010,0.925,750,133347.820,133347.820,324206.353,5798,111000,5.223,119364.000,1.117153,11.715,41
two_opt,1000.000,0.010,0.925,1000,133347.820,132819.728,327244.267,7761,148000,5.244,119364.000,1.112729,11.273,55
two_opt,1000.000,0.010,0.925,1250,133347.820,131336.696,333568.133,9877,185000,5.339,119364.000,1.100304,10.030,68
two_opt,1000.000,0.010,0.925,1500,133347.820,131789.819,336868.451,11517,222000,5.188,119364.000,1.104100,10.410,82
two_opt,1000.000,0.010,0.950,250,133347.820,133347.820,295009.003,3173,56250,5.641,119364.000,1.117153,11.715,21
two_opt,1000.000,0.010,0.950,500,133347.820,133347.820,327883.178,6045,112500,5.373,119364.000,1.117153,11.715,44
