neighbor_moveinitial_temp,min_temp,cooling_rate,iterations_per_temp,nearest_neighbor_cost,optimized_cost,average_accepted_cost,accepted_moves,evaluated_candidates,acceptance_rate_percent,best_known_cost,cost_ratio_to_best,gap_percent,duration_ms
two_opt,1000.000,0.100,0.900,250,196629.579,196629.579,362874.278,1231,22000,5.595,175110.000,1.122892,12.289,14
two_opt,1000.000,0.100,0.900,500,196629.579,196629.579,463920.935,3059,44000,6.952,175110.000,1.122892,12.289,28
two_opt,1000.000,0.100,0.900,750,196629.579,196588.941,487616.584,4699,66000,7.120,175110.000,1.122660,12.266,41
two_opt,1000.000,0.100,0.900,1000,196629.579,196629.579,512131.773,6137,88000,6.974,175110.000,1.122892,12.289,52
two_opt,1000.000,0.100,0.900,1250,196629.579,196629.579,510389.215,7379,110000,6.708,175110.000,1.122892,12.289,64
two_opt,1000.000,0.100,0.900,1500,196629.579,196629.579,529261.203,8738,132000,6.620,175110.000,1.122892,12.289,76
two_opt,1000.000,0.100,0.925,250,196629.579,196629.579,392686.268,1642,29750,5.519,175110.000,1.122892,12.289,17
two_opt,1000.000,0.100,0.925,500,196629.579,196629.579,469100.365,3900,59500,6.555,175110.000,1.122892,12.289,35
two_opt,1000.000,0.100,0.925,750,196629.579,196629.579,506804.326,6264,89250,7.018,175110.000,1.122892,12.289,53
two_opt,1000.000,0.100,0.925,1000,196629.579,196629.579,532626.824,8020,119000,6.739,175110.000,1.122892,12.289,71
two_opt,1000.000,0.100,0.925,1250,196629.579,196629.579,537667.744,9878,148750,6.641,175110.000,1.122892,12.289,87
two_opt,1000.000,0.100,0.925,1500,196629.579,196570.679,545076.504,11552,178500,6.472,175110.000,1.122555,12.256,103
two_opt,1000.000,0.100,0.950,250,196629.579,196629.579,436469.287,2738,45000,6.084,175110.000,1.122892,12.289,26
two_opt,1000.000,0.100,0.950,500,196629.579,196629.579,503404.961,6014,90000,6.682,175110.000,1.122892,12.289,52
two_opt,1000.000,0.100,0.950,750,196629.579,196629.579,516972.419,8700,135000,6.444,175110.000,1.122892,12.289,80
two_opt,1000.000,0.100,0.950,1000,196629.579,196629.579,538707.985,11651,180000,6.473,175110.000,1.122892,12.289,106
two_opt,1000.000,0.100,0.950,1250,196629.579,196629.579,543878.234,14308,225000,6.359,175110.000,1.122892,12.289,131
two_opt,1000.000,0.100,0.950,1500,196629.579,196629.579,548868.670,17113,270000,6.338,175110.000,1.122892,12.289,155
two_opt,1000.000,0.100,0.975,250,196629.579,196629.579,511124.179,6202,91000,6.815,175110.000,1.122892,12.289,53
two_opt,1000.000,0.100,0.975,500,196629.579,196629.579,536161.235,11442,182000,6.287,175110.000,1.122892,12.289,115
two_opt,1000.000,0.100,0.975,750,196629.579,196629.579,551292.737,17084,273000,6.258,175110.000,1.122892,12.289,161
two_opt,1000.000,0.100,0.975,1000,196629.579,196629.579,556843.597,22236,364000,6.109,175110.000,1.122892,12.289,214
two_opt,1000.000,0.100,0.975,1250,196629.579,195610.461,560299.420,27475,455000,6.038,175110.000,1.117072,11.707,261
two_opt,1000.000,0.100,0.975,1500,196629.579,193649.298,567037.277,32788,546000,6.005,175110.000,1.105872,10.587,315
two_opt,1000.000,0.100,0.990,250,196629.579,196629.579,545687.043,14426,229250,6.293,175110.000,1.122892,12.289,131
two_opt,1000.000,0.100,0.990,500,196629.579,195263.496,564531.337,27610,458500,6.022,175110.000,1.115090,11.509,268
two_opt,1000.000,0.100,0.990,750,196629.579,191708.474,569333.092,41268,687750,6.000,175110.000,1.094789,9.479,400
two_opt,1000.000,0.100,0.990,1000,196629.579,186951.024,571746.011,53909,917000,5.879,175110.000,1.067620,6.762,536
two_opt,1000.000,0.100,0.990,1250,196629.579,185378.684,571286.741,66609,1146250,5.811,175110.000,1.058641,5.864,678
two_opt,1000.000,0.100,0.990,1500,196629.579,186927.585,573740.936,79141,1375500,5.754,175110.000,1.067487,6.749,814
two_opt,1000.000,0.100,0.995,250,196629.579,194408.767,555995.104,26599,459500,5.789,175110.000,1.110209,11.021,271
two_opt,1000.000,0.100,0.995,500,196629.579,186603.200,570942.268,53169,919000,5.786,175110.000,1.065634,6.563,535
two_opt,1000.000,0.100,0.995,750,196629.579,188462.966,573855.436,79937,1378500,5.799,175110.000,1.076255,7.625,822
two_opt,1000.000,0.100,0.995,1000,196629.579,185021.997,577085.893,105056,1838000,5.716,175110.000,1.056604,5.660,1097
two_opt,1000.000,0.100,0.995,1250,196629.579,184469.901,577429.597,132490,2297500,5.767,175110.000,1.053452,5.345,1372
two_opt,1000.000,0.100,0.995,1500,196629.579,182893.063,577869.795,158308,2757000,5.742,175110.000,1.044447,4.445,1648
two_opt,1000.000,0.010,0.900,250,196629.579,196629.579,364454.121,1283,27500,4.665,175110.000,1.122892,12.289,17
two_opt,1000.000,0.010,0.900,500,196629.579,196629.579,447807.418,3002,55000,5.458,175110.000,1.122892,12.289,34
two_opt,1000.000,0.010,0.900,750,196629.579,196629.579,482594.474,4569,82500,5.538,175110.000,1.122892,12.289,51
two_opt,1000.000,0.010,0.900,1000,196629.579,196629.579,500903.854,6010,110000,5.464,175110.000,1.122892,12.289,66
two_opt,1000.000,0.010,0.900,1250,196629.579,196629.579,521382.552,7687,137500,5.591,175110.000,1.122892,12.289,81
two_opt,1000.000,0.010,0.900,1500,196629.579,196629.579,523668.034,9021,165000,5.467,175110.000,1.122892,12.289,99
two_opt,1000.000,0.010,0.925,250,196629.579,196629.579,395716.239,1909,37000,5.159,175110.000,1.122892,12.289,23
two_opt,1000.000,0.010,0.925,500,196629.579,196576.948,472638.769,4103,74000,5.545,175110.000,1.122591,12.259,45
two_opt,1000.000,0.010,0.925,750,196629.579,196629.579,506496.319,6082,111000,5.479,175110.000,1.122892,12.289,66
two_opt,1000.000,0.010,0.925,1000,196629.579,196629.579,515857.465,7956,148000,5.376,175110.000,1.122892,12.289,87
two_opt,1000.000,0.010,0.925,1250,196629.579,196629.579,526322.057,9825,185000,5.311,175110.000,1.122892,12.289,109
two_opt,1000.000,0.010,0.925,1500,196629.579,196629.579,543956.287,11568,222000,5.211,175110.000,1.122892,12.289,134
two_opt,1000.000,0.010,0.950,250,196629.579,196629.579,430820.759,2883,56250,5.125,175110.000,1.122892,12.289,37
